"Name","Sex","Age","Height","Weight","Team","Year","Sport","Medal","BMI"
"Juhamatti Tapio Aaltonen","M",28,184,85,"Finland",2014,"Ice Hockey","Bronze",25.1063327032136
"Kjetil Andr Aamodt","M",20,176,85,"Norway",1992,"Alpine Skiing","Gold",27.4405991735537
"Kjetil Andr Aamodt","M",20,176,85,"Norway",1992,"Alpine Skiing","Bronze",27.4405991735537
"Kjetil Andr Aamodt","M",22,176,85,"Norway",1994,"Alpine Skiing","Silver",27.4405991735537
"Kjetil Andr Aamodt","M",22,176,85,"Norway",1994,"Alpine Skiing","Bronze",27.4405991735537
"Kjetil Andr Aamodt","M",22,176,85,"Norway",1994,"Alpine Skiing","Silver",27.4405991735537
"Kjetil Andr Aamodt","M",30,176,85,"Norway",2002,"Alpine Skiing","Gold",27.4405991735537
"Kjetil Andr Aamodt","M",30,176,85,"Norway",2002,"Alpine Skiing","Gold",27.4405991735537
"Kjetil Andr Aamodt","M",34,176,85,"Norway",2006,"Alpine Skiing","Gold",27.4405991735537
"Ragnhild Margrethe Aamodt","F",27,163,NA,"Norway",2008,"Handball","Gold",NA
"Willemien Aardenburg","F",22,NA,NA,"Netherlands",1988,"Hockey","Bronze",NA
"Pepijn Aardewijn","M",26,189,72,"Netherlands",1996,"Rowing","Silver",20.1562106324011
"Ann Kristin Aarnes","F",23,182,64,"Norway",1996,"Football","Bronze",19.3213380026567
"Roald Edgar Aas","M",31,NA,NA,"Norway",1960,"Speed Skating","Gold",NA
"Giovanni Abagnale","M",21,198,90,"Italy",2016,"Rowing","Bronze",22.9568411386593
"Jos Luis Abajo Gmez","M",30,194,87,"Spain",2008,"Fencing","Bronze",23.1161653735785
"Patimat Abakarova","F",21,165,49,"Azerbaijan",2016,"Taekwondo","Bronze",17.9981634527089
"Mariya Vasilyevna Abakumova (-Tarabina)","F",22,179,80,"Russia",2008,"Athletics","Silver",24.9680097375238
"Aleksey Aleksandrovich Abalmasov","M",28,180,83,"Belarus",2008,"Canoeing","Gold",25.6172839506173
"Luc Abalo","M",23,182,86,"France",2008,"Handball","Gold",25.9630479410699
"Luc Abalo","M",27,182,86,"France",2012,"Handball","Gold",25.9630479410699
"Luc Abalo","M",31,182,86,"France",2016,"Handball","Silver",25.9630479410699
"Jouan Patrice Abanda Etong","M",22,185,82,"Cameroon",2000,"Football","Gold",23.9590942293645
"Jos Mara Abarca Plotas","M",22,186,83,"Spain",1996,"Water Polo","Gold",23.9912128569777
"Stephen Anthony Abas","M",26,165,55,"United States",2004,"Wrestling","Silver",20.2020202020202
"Alejandro Abascal Garca","M",28,181,82,"Spain",1980,"Sailing","Gold",25.0297609963066
"Jos Manuel Abascal Gmez","M",26,182,67,"Spain",1984,"Athletics","Bronze",20.2270257215312
"Tamila Rashidovna Abasova","F",21,163,60,"Russia",2004,"Cycling","Silver",22.5827091723437
"Jol Marc Abati","M",38,190,85,"France",2008,"Handball","Gold",23.5457063711911
"Pter Abay","M",30,181,79,"Hungary",1992,"Fencing","Silver",24.1140380330271
"Agostino Abbagnale","M",22,188,96,"Italy",1988,"Rowing","Gold",27.1616115889543
"Agostino Abbagnale","M",29,188,96,"Italy",1996,"Rowing","Gold",27.1616115889543
"Agostino Abbagnale","M",34,188,96,"Italy",2000,"Rowing","Gold",27.1616115889543
