Team,Sport,Total_Medals,Country_Total
Australia,Alpine Skiing,1,1166
Australia,Archery,5,1166
Australia,Athletics,46,1166
Australia,Badminton,0,1166
Australia,Baseball,24,1166
Australia,Basketball,60,1166
Australia,Beach Volleyball,0,1166
Australia,Biathlon,0,1166
Australia,Bobsleigh,0,1166
Australia,Boxing,3,1166
Australia,Canoeing,39,1166
Australia,Cross Country Skiing,0,1166
Australia,Curling,0,1166
Australia,Cycling,75,1166
Australia,Diving,19,1166
Australia,Equestrianism,37,1166
Australia,Fencing,0,1166
Australia,Figure Skating,0,1166
Australia,Football,0,1166
Australia,Freestyle Skiing,7,1166
Australia,Golf,0,1166
Australia,Gymnastics,0,1166
Australia,Handball,0,1166
Australia,Hockey,188,1166
Australia,Ice Hockey,0,1166
Australia,Judo,2,1166
Australia,Luge,0,1166
Australia,Modern Pentathlon,1,1166
Australia,Nordic Combined,0,1166
Australia,Rhythmic Gymnastics,0,1166
Australia,Rowing,119,1166
Australia,Rugby Sevens,12,1166
Australia,Sailing,45,1166
Australia,Shooting,11,1166
Australia,Short Track Speed Skating,5,1166
Australia,Skeleton,0,1166
Australia,Ski Jumping,0,1166
Australia,Snowboarding,2,1166
Australia,Softball,60,1166
Australia,Speed Skating,0,1166
Australia,Swimming,346,1166
Australia,Synchronized Swimming,0,1166
Australia,Table Tennis,0,1166
Australia,Taekwondo,2,1166
Australia,Tennis,9,1166
Australia,Trampolining,1,1166
Australia,Triathlon,5,1166
Australia,Volleyball,0,1166
Australia,Water Polo,39,1166
Australia,Weightlifting,3,1166
Australia,Wrestling,0,1166
Canada,Alpine Skiing,10,938
Canada,Archery,0,938
Canada,Athletics,41,938
Canada,Badminton,0,938
Canada,Baseball,0,938
Canada,Basketball,0,938
Canada,Beach Volleyball,0,938
Canada,Biathlon,3,938
Canada,Bobsleigh,0,938
Canada,Boxing,9,938
Canada,Canoeing,24,938
Canada,Cross Country Skiing,4,938
Canada,Curling,48,938
Canada,Cycling,19,938
Canada,Diving,17,938
Canada,Equestrianism,14,938
Canada,Fencing,0,938
Canada,Figure Skating,21,938
Canada,Football,36,938
Canada,Freestyle Skiing,18,938
Canada,Golf,0,938
Canada,Gymnastics,1,938
Canada,Handball,0,938
Canada,Hockey,0,938
Canada,Ice Hockey,247,938
Canada,Judo,5,938
Canada,Luge,0,938
Canada,Modern Pentathlon,0,938
Canada,Nordic Combined,0,938
Canada,Rhythmic Gymnastics,1,938
Canada,Rowing,130,938
Canada,Rugby Sevens,12,938
Canada,Sailing,15,938
Canada,Shooting,1,938
Canada,Short Track Speed Skating,70,938
Canada,Skeleton,4,938
Canada,Ski Jumping,0,938
Canada,Snowboarding,7,938
Canada,Softball,0,938
Canada,Speed Skating,39,938
Canada,Swimming,90,938
Canada,Synchronized Swimming,26,938
Canada,Table Tennis,0,938
Canada,Taekwondo,2,938
Canada,Tennis,2,938
Canada,Trampolining,7,938
Canada,Triathlon,2,938
Canada,Volleyball,0,938
Canada,Water Polo,0,938
Canada,Weightlifting,2,938
Canada,Wrestling,11,938
China,Alpine Skiing,0,901
China,Archery,19,901
China,Athletics,27,901
China,Badminton,24,901
China,Baseball,0,901
China,Basketball,23,901
China,Beach Volleyball,0,901
China,Biathlon,0,901
China,Bobsleigh,0,901
China,Boxing,12,901
China,Canoeing,4,901
China,Cross Country Skiing,0,901
China,Curling,4,901
China,Cycling,9,901
China,Diving,88,901
China,Equestrianism,0,901
China,Fencing,30,901
China,Figure Skating,2,901
China,Football,15,901
China,Freestyle Skiing,8,901
China,Golf,1,901
China,Gymnastics,109,901
China,Handball,13,901
China,Hockey,16,901
China,Ice Hockey,0,901
China,Judo,22,901
China,Luge,0,901
China,Modern Pentathlon,1,901
China,Nordic Combined,0,901
China,Rhythmic Gymnastics,6,901
China,Rowing,29,901
China,Rugby Sevens,0,901
China,Sailing,6,901
China,Shooting,56,901
China,Short Track Speed Skating,49,901
China,Skeleton,0,901
China,Ski Jumping,0,901
China,Snowboarding,0,901
China,Softball,15,901
China,Speed Skating,7,901
China,Swimming,70,901
China,Synchronized Swimming,31,901
China,Table Tennis,51,901
China,Taekwondo,10,901
China,Tennis,0,901
China,Trampolining,11,901
China,Triathlon,0,901
China,Volleyball,66,901
China,Water Polo,0,901
China,Weightlifting,57,901
China,Wrestling,10,901
East Germany,Alpine Skiing,0,941
East Germany,Archery,0,941
East Germany,Athletics,140,941
East Germany,Badminton,0,941
East Germany,Baseball,0,941
East Germany,Basketball,0,941
East Germany,Beach Volleyball,0,941
East Germany,Biathlon,20,941
East Germany,Bobsleigh,0,941
East Germany,Boxing,13,941
East Germany,Canoeing,50,941
East Germany,Cross Country Skiing,10,941
East Germany,Curling,0,941
East Germany,Cycling,33,941
East Germany,Diving,7,941
East Germany,Equestrianism,0,941
East Germany,Fencing,1,941
East Germany,Figure Skating,6,941
East Germany,Football,51,941
East Germany,Freestyle Skiing,0,941
East Germany,Golf,0,941
East Germany,Gymnastics,86,941
East Germany,Handball,42,941
East Germany,Hockey,0,941
East Germany,Ice Hockey,0,941
East Germany,Judo,9,941
East Germany,Luge,21,941
East Germany,Modern Pentathlon,0,941
East Germany,Nordic Combined,7,941
East Germany,Rhythmic Gymnastics,0,941
East Germany,Rowing,184,941
East Germany,Rugby Sevens,0,941
East Germany,Sailing,15,941
East Germany,Shooting,16,941
East Germany,Short Track Speed Skating,0,941
East Germany,Skeleton,0,941
East Germany,Ski Jumping,7,941
East Germany,Snowboarding,0,941
East Germany,Softball,0,941
East Germany,Speed Skating,29,941
East Germany,Swimming,152,941
East Germany,Synchronized Swimming,0,941
East Germany,Table Tennis,0,941
East Germany,Taekwondo,0,941
East Germany,Tennis,0,941
East Germany,Trampolining,0,941
East Germany,Triathlon,0,941
East Germany,Volleyball,24,941
East Germany,Water Polo,0,941
East Germany,Weightlifting,11,941
East Germany,Wrestling,7,941
France,Alpine Skiing,39,832
France,Archery,5,832
France,Athletics,54,832
France,Badminton,0,832
France,Baseball,0,832
France,Basketball,24,832
France,Beach Volleyball,0,832
France,Biathlon,40,832
France,Bobsleigh,4,832
France,Boxing,15,832
