Team,Sport,Total_Medals,Country_Total
Australia,Alpine Skiing,1,1166
Australia,Archery,5,1166
Australia,Athletics,46,1166
Australia,Baseball,24,1166
Australia,Basketball,60,1166
Australia,Boxing,3,1166
Australia,Canoeing,39,1166
Australia,Cycling,75,1166
Australia,Diving,19,1166
Australia,Equestrianism,37,1166
Australia,Freestyle Skiing,7,1166
Australia,Hockey,188,1166
Australia,Judo,2,1166
Australia,Modern Pentathlon,1,1166
Australia,Rowing,119,1166
Australia,Rugby Sevens,12,1166
Australia,Sailing,45,1166
Australia,Shooting,11,1166
Australia,Short Track Speed Skating,5,1166
Australia,Snowboarding,2,1166
Australia,Softball,60,1166
Australia,Swimming,346,1166
Australia,Taekwondo,2,1166
Australia,Tennis,9,1166
Australia,Trampolining,1,1166
Australia,Triathlon,5,1166
Australia,Water Polo,39,1166
Australia,Weightlifting,3,1166
Canada,Alpine Skiing,10,938
Canada,Athletics,41,938
Canada,Biathlon,3,938
Canada,Boxing,9,938
Canada,Canoeing,24,938
Canada,Cross Country Skiing,4,938
Canada,Curling,48,938
Canada,Cycling,19,938
Canada,Diving,17,938
Canada,Equestrianism,14,938
Canada,Figure Skating,21,938
Canada,Football,36,938
Canada,Freestyle Skiing,18,938
Canada,Gymnastics,1,938
Canada,Ice Hockey,247,938
Canada,Judo,5,938
Canada,Rhythmic Gymnastics,1,938
Canada,Rowing,130,938
Canada,Rugby Sevens,12,938
Canada,Sailing,15,938
Canada,Shooting,1,938
Canada,Short Track Speed Skating,70,938
Canada,Skeleton,4,938
Canada,Snowboarding,7,938
Canada,Speed Skating,39,938
Canada,Swimming,90,938
Canada,Synchronized Swimming,26,938
Canada,Taekwondo,2,938
Canada,Tennis,2,938
Canada,Trampolining,7,938
Canada,Triathlon,2,938
Canada,Weightlifting,2,938
Canada,Wrestling,11,938
China,Archery,19,901
China,Athletics,27,901
China,Badminton,24,901
China,Basketball,23,901
China,Boxing,12,901
China,Canoeing,4,901
China,Curling,4,901
China,Cycling,9,901
China,Diving,88,901
China,Fencing,30,901
China,Figure Skating,2,901
China,Football,15,901
China,Freestyle Skiing,8,901
China,Golf,1,901
China,Gymnastics,109,901
China,Handball,13,901
China,Hockey,16,901
China,Judo,22,901
China,Modern Pentathlon,1,901
China,Rhythmic Gymnastics,6,901
China,Rowing,29,901
China,Sailing,6,901
China,Shooting,56,901
China,Short Track Speed Skating,49,901
China,Softball,15,901
China,Speed Skating,7,901
China,Swimming,70,901
China,Synchronized Swimming,31,901
China,Table Tennis,51,901
China,Taekwondo,10,901
China,Trampolining,11,901
China,Volleyball,66,901
China,Weightlifting,57,901
China,Wrestling,10,901
East Germany,Athletics,140,941
East Germany,Biathlon,20,941
East Germany,Boxing,13,941
East Germany,Canoeing,50,941
East Germany,Cross Country Skiing,10,941
East Germany,Cycling,33,941
East Germany,Diving,7,941
East Germany,Fencing,1,941
East Germany,Figure Skating,6,941
East Germany,Football,51,941
East Germany,Gymnastics,86,941
East Germany,Handball,42,941
East Germany,Judo,9,941
East Germany,Luge,21,941
East Germany,Nordic Combined,7,941
East Germany,Rowing,184,941
East Germany,Sailing,15,941
East Germany,Shooting,16,941
East Germany,Ski Jumping,7,941
East Germany,Speed Skating,29,941
East Germany,Swimming,152,941
East Germany,Volleyball,24,941
East Germany,Weightlifting,11,941
East Germany,Wrestling,7,941
France,Alpine Skiing,39,832
France,Archery,5,832
France,Athletics,54,832
France,Basketball,24,832
France,Biathlon,40,832
France,Bobsleigh,4,832
France,Boxing,15,832
France,Canoeing,37,832
France,Cross Country Skiing,5,832
France,Cycling,63,832
France,Equestrianism,41,832
France,Fencing,150,832
France,Figure Skating,5,832
France,Football,16,832
France,Freestyle Skiing,12,832
France,Gymnastics,8,832
France,Handball,77,832
France,Judo,49,832
France,Modern Pentathlon,7,832
France,Nordic Combined,7,832
France,Rowing,46,832
France,Sailing,24,832
France,Shooting,14,832
France,Ski Jumping,1,832
France,Snowboarding,10,832
France,Swimming,56,832
France,Synchronized Swimming,2,832
France,Table Tennis,1,832
France,Taekwondo,7,832
France,Tennis,2,832
France,Weightlifting,2,832
France,Wrestling,9,832
Germany,Alpine Skiing,22,1399
Germany,Archery,7,1399
Germany,Athletics,71,1399
Germany,Biathlon,80,1399
Germany,Boxing,16,1399
Germany,Canoeing,138,1399
Germany,Cross Country Skiing,35,1399
Germany,Cycling,71,1399
Germany,Diving,17,1399
Germany,Equestrianism,92,1399
Germany,Fencing,50,1399
Germany,Figure Skating,1,1399
Germany,Football,104,1399
Germany,Freestyle Skiing,1,1399
Germany,Gymnastics,18,1399
Germany,Handball,30,1399
Germany,Hockey,130,1399
Germany,Judo,20,1399
Germany,Luge,31,1399
Germany,Modern Pentathlon,1,1399
Germany,Nordic Combined,23,1399
Germany,Rowing,158,1399
Germany,Sailing,14,1399
Germany,Shooting,20,1399
Germany,Skeleton,2,1399
Germany,Ski Jumping,25,1399
Germany,Snowboarding,5,1399
Germany,Speed Skating,47,1399
Germany,Swimming,114,1399
Germany,Table Tennis,16,1399
Germany,Taekwondo,2,1399
Germany,Tennis,9,1399
Germany,Trampolining,2,1399
Germany,Triathlon,2,1399
Germany,Weightlifting,9,1399
Germany,Wrestling,16,1399
Great Britain,Archery,8,864
Great Britain,Athletics,157,864
Great Britain,Badminton,2,864
Great Britain,Bobsleigh,4,864
Great Britain,Boxing,25,864
Great Britain,Canoeing,18,864
Great Britain,Curling,13,864
Great Britain,Cycling,89,864
Great Britain,Diving,10,864
Great Britain,Equestrianism,67,864
Great Britain,Fencing,8,864
Great Britain,Figure Skating,4,864
Great Britain,Golf,1,864
Great Britain,Gymnastics,15,864
Great Britain,Hockey,79,864
Great Britain,Judo,19,864
Great Britain,Modern Pentathlon,11,864
Great Britain,Rowing,157,864
Great Britain,Rugby Sevens,12,864
Great Britain,Sailing,61,864
Great Britain,Shooting,13,864
Great Britain,Short Track Speed Skating,1,864
Great Britain,Skeleton,4,864
Great Britain,Snowboarding,1,864
Great Britain,Swimming,63,864
Great Britain,Taekwondo,6,864
Great Britain,Tennis,6,864
Great Britain,Trampolining,1,864
