Team,Sport,Total_Medals,Country_Total,Rank
United States,Alpine Skiing,40,3553,1
United States,Archery,28,3553,1
United States,Athletics,530,3553,1
United States,Baseball,68,3553,1
United States,Basketball,287,3553,1
United States,Boxing,66,3553,1
United States,Canoeing,12,3553,1
United States,Cross Country Skiing,1,3553,1
United States,Curling,4,3553,1
United States,Cycling,46,3553,1
United States,Diving,59,3553,1
United States,Equestrianism,104,3553,1
United States,Fencing,31,3553,1
United States,Figure Skating,33,3553,1
United States,Football,79,3553,1
United States,Freestyle Skiing,21,3553,1
United States,Golf,1,3553,1
United States,Gymnastics,121,3553,1
United States,Hockey,16,3553,1
United States,Ice Hockey,199,3553,1
United States,Judo,14,3553,1
United States,Luge,1,3553,1
United States,Modern Pentathlon,11,3553,1
United States,Nordic Combined,7,3553,1
United States,Rowing,195,3553,1
United States,Sailing,79,3553,1
United States,Shooting,50,3553,1
United States,Short Track Speed Skating,42,3553,1
United States,Skeleton,5,3553,1
United States,Snowboarding,24,3553,1
United States,Softball,60,3553,1
United States,Speed Skating,58,3553,1
United States,Swimming,875,3553,1
United States,Synchronized Swimming,30,3553,1
United States,Taekwondo,9,3553,1
United States,Tennis,21,3553,1
United States,Triathlon,2,3553,1
United States,Volleyball,120,3553,1
United States,Water Polo,113,3553,1
United States,Weightlifting,15,3553,1
United States,Wrestling,76,3553,1
Soviet Union,Archery,7,2128,2
Soviet Union,Athletics,197,2128,2
Soviet Union,Basketball,120,2128,2
Soviet Union,Biathlon,37,2128,2
Soviet Union,Boxing,39,2128,2
Soviet Union,Canoeing,76,2128,2
Soviet Union,Cross Country Skiing,99,2128,2
Soviet Union,Cycling,53,2128,2
Soviet Union,Diving,14,2128,2
Soviet Union,Equestrianism,29,2128,2
Soviet Union,Fencing,140,2128,2
Soviet Union,Figure Skating,4,2128,2
Soviet Union,Football,69,2128,2
Soviet Union,Gymnastics,207,2128,2
Soviet Union,Handball,84,2128,2
Soviet Union,Hockey,32,2128,2
Soviet Union,Ice Hockey,151,2128,2
Soviet Union,Judo,23,2128,2
Soviet Union,Luge,5,2128,2
Soviet Union,Modern Pentathlon,24,2128,2
Soviet Union,Nordic Combined,3,2128,2
Soviet Union,Rhythmic Gymnastics,2,2128,2
Soviet Union,Rowing,135,2128,2
Soviet Union,Sailing,18,2128,2
Soviet Union,Shooting,37,2128,2
Soviet Union,Ski Jumping,1,2128,2
Soviet Union,Speed Skating,53,2128,2
Soviet Union,Swimming,119,2128,2
Soviet Union,Volleyball,141,2128,2
Soviet Union,Water Polo,68,2128,2
Soviet Union,Weightlifting,48,2128,2
Soviet Union,Wrestling,93,2128,2
Germany,Alpine Skiing,22,1399,3
Germany,Archery,7,1399,3
Germany,Athletics,71,1399,3
Germany,Biathlon,80,1399,3
Germany,Boxing,16,1399,3
Germany,Canoeing,138,1399,3
Germany,Cross Country Skiing,35,1399,3
Germany,Cycling,71,1399,3
Germany,Diving,17,1399,3
Germany,Equestrianism,92,1399,3
Germany,Fencing,50,1399,3
Germany,Figure Skating,1,1399,3
Germany,Football,104,1399,3
Germany,Freestyle Skiing,1,1399,3
Germany,Gymnastics,18,1399,3
Germany,Handball,30,1399,3
Germany,Hockey,130,1399,3
Germany,Judo,20,1399,3
Germany,Luge,31,1399,3
Germany,Modern Pentathlon,1,1399,3
Germany,Nordic Combined,23,1399,3
Germany,Rowing,158,1399,3
Germany,Sailing,14,1399,3
Germany,Shooting,20,1399,3
Germany,Skeleton,2,1399,3
Germany,Ski Jumping,25,1399,3
Germany,Snowboarding,5,1399,3
Germany,Speed Skating,47,1399,3
Germany,Swimming,114,1399,3
Germany,Table Tennis,16,1399,3
Germany,Taekwondo,2,1399,3
Germany,Tennis,9,1399,3
Germany,Trampolining,2,1399,3
Germany,Triathlon,2,1399,3
Germany,Weightlifting,9,1399,3
Germany,Wrestling,16,1399,3
Australia,Alpine Skiing,1,1166,4
Australia,Archery,5,1166,4
Australia,Athletics,46,1166,4
Australia,Baseball,24,1166,4
Australia,Basketball,60,1166,4
Australia,Boxing,3,1166,4
Australia,Canoeing,39,1166,4
Australia,Cycling,75,1166,4
Australia,Diving,19,1166,4
Australia,Equestrianism,37,1166,4
Australia,Freestyle Skiing,7,1166,4
Australia,Hockey,188,1166,4
Australia,Judo,2,1166,4
Australia,Modern Pentathlon,1,1166,4
Australia,Rowing,119,1166,4
Australia,Rugby Sevens,12,1166,4
Australia,Sailing,45,1166,4
Australia,Shooting,11,1166,4
Australia,Short Track Speed Skating,5,1166,4
Australia,Snowboarding,2,1166,4
Australia,Softball,60,1166,4
Australia,Swimming,346,1166,4
Australia,Taekwondo,2,1166,4
Australia,Tennis,9,1166,4
Australia,Trampolining,1,1166,4
Australia,Triathlon,5,1166,4
Australia,Water Polo,39,1166,4
Australia,Weightlifting,3,1166,4
Russia,Alpine Skiing,1,1100,5
Russia,Archery,4,1100,5
Russia,Athletics,103,1100,5
Russia,Badminton,2,1100,5
Russia,Basketball,36,1100,5
Russia,Biathlon,57,1100,5
Russia,Boxing,30,1100,5
Russia,Canoeing,22,1100,5
Russia,Cross Country Skiing,49,1100,5
Russia,Cycling,24,1100,5
Russia,Diving,27,1100,5
Russia,Fencing,62,1100,5
Russia,Figure Skating,19,1100,5
Russia,Freestyle Skiing,4,1100,5
Russia,Gymnastics,83,1100,5
Russia,Handball,58,1100,5
Russia,Ice Hockey,43,1100,5
Russia,Judo,16,1100,5
Russia,Luge,6,1100,5
Russia,Modern Pentathlon,5,1100,5
Russia,Nordic Combined,1,1100,5
Russia,Rhythmic Gymnastics,45,1100,5
Russia,Rowing,17,1100,5
Russia,Sailing,4,1100,5
Russia,Shooting,31,1100,5
Russia,Short Track Speed Skating,8,1100,5
Russia,Skeleton,3,1100,5
Russia,Snowboarding,5,1100,5
Russia,Speed Skating,20,1100,5
Russia,Swimming,43,1100,5
Russia,Synchronized Swimming,54,1100,5
Russia,Taekwondo,4,1100,5
Russia,Tennis,6,1100,5
Russia,Trampolining,4,1100,5
Russia,Volleyball,70,1100,5
Russia,Water Polo,51,1100,5
Russia,Weightlifting,26,1100,5
Russia,Wrestling,57,1100,5
Italy,Alpine Skiing,28,959,6
Italy,Archery,15,959,6
Italy,Athletics,40,959,6
Italy,Basketball,24,959,6
Italy,Biathlon,10,959,6
Italy,Boxing,28,959,6
Italy,Canoeing,23,959,6
Italy,Cross Country Skiing,61,959,6
Italy,Cycling,65,959,6
Italy,Diving,12,959,6
Italy,Equestrianism,24,959,6
Italy,Fencing,179,959,6
Italy,Figure Skating,1,959,6
Italy,Football,17,959,6
Italy,Gymnastics,15,959,6
Italy,Judo,15,959,6
Italy,Luge,10,959,6
Italy,Modern Pentathlon,12,959,6
Italy,Nordic Combined,1,959,6
Italy,Rhythmic Gymnastics,12,959,6
Italy,Rowing,74,959,6
Italy,Sailing,13,959,6
Italy,Shooting,38,959,6
Italy,Short Track Speed Skating,21,959,6
Italy,Snowboarding,2,959,6
Italy,Speed Skating,6,959,6
Italy,Swimming,27,959,6
Italy,Taekwondo,3,959,6
Italy,Volleyball,72,959,6
Italy,Water Polo,100,959,6
Italy,Weightlifting,3,959,6
Italy,Wrestling,8,959,6
East Germany,Athletics,140,941,7
East Germany,Biathlon,20,941,7
East Germany,Boxing,13,941,7
East Germany,Canoeing,50,941,7
East Germany,Cross Country Skiing,10,941,7
East Germany,Cycling,33,941,7
East Germany,Diving,7,941,7
East Germany,Fencing,1,941,7
East Germany,Figure Skating,6,941,7
East Germany,Football,51,941,7
East Germany,Gymnastics,86,941,7
East Germany,Handball,42,941,7
East Germany,Judo,9,941,7
